"AnnaBGI" "H09" "H10" "H11" "H12" "H13" "H14" "H15" "H16" "H17" "H18" "H19" "H1" "H20" "H21" "H22" "H23" "H24" "H25" "H26" "H27" "H28" "H29" "H2" "H30" "H31" "H33" "H34" "H35" "H36" "H38" "H39" "H3" "H40" "H41" "H42" "H43" "H44" "H45" "H46" "H47" "H48" "H4" "H5" "H6" "H7" "H8" "SwiftBGI"
"R000336" 0 0.0279793268240222 0.0314040379135628 0.0172517848026155 0.0103096436013679 0.0103096436013679 0.0137939782594145 0.0137939782594145 0.0422088078775449 0.0103096436013679 0.0350141619003063 0.0137939782594145 0.0386505415648462 0.0422088078775449 0.020836348200284 0.00683474135119452 0.0242212566484059 0.0242610592898245 0.0172517848026155 0.0103096436013679 0.0172517848026155 0.0278197931742565 0.0207729261153219 0.0423135616108826 0.00683474135119452 0.0137939782594145 0.0242610592898245 0.0278197931742565 0.027890484026258 0.0137939782594145 0.0137939782594145 0.027890484026258 0.0492154938873169 0.0243190402700679 0.0173027645887378 0.0207729261153219 0.0173027645887378 0.0137939782594145 0.0172517848026155 0.024395082084716 0.0173027645887378 0.0243190402700679 0.0102830308807247 0.00683474135119452 0.0677196960816126 0.0242610592898245 0.0242610592898245 0.0910650033256403
"R000374" 0 0.0157299418040339 0.0170632759274916 0.00912672015467517 0.0104442439736777 0.00912672015467517 0.00650204221160329 0.0104442439736777 0.0157299418040339 0.0130897527908855 0.0157299418040339 0.00780375204387274 0.0170446732151849 0.0157299418040339 0.0157299418040339 0.0051948519245679 0.0130738930615889 0.0117511409673769 0.00912672015467517 0.0372330513693044 0.00912672015467517 0.0157493335296855 0.0117511409673769 0.0237561833812552 0.0051948519245679 0.0130738930615889 0.0117395836591771 0.0157299418040339 0.014385092476385 0.0130605883905964 0.0130605883905964 0.0144001537861545 0.0317535444744446 0.0197406584963215 0.014385092476385 0.0144001537861545 0.0170446732151849 0.0130738930615889 0.0117511409673769 0.0157299418040339 0.0170152007822277 0.0117511409673769 0.00909946817388731 0.0051948519245679 0.0196674661420555 0.0170632759274916 0.0170286460233099 0.0400297282297267
"R000375" 0 0.0130220866022328 0.0177240170076403 0.0130297260338527 0.00926972377519898 0.0102164581559089 0.00741008970343022 0.00647812298439883 0.0177240170076403 0.00927925075873376 0.0224745711939885 0.0092738398283216 0.019614696857595 0.0205579350519 0.0111482562690815 0.00461938478433262 0.021541734290774 0.0234438124623375 0.00833926011696984 0.0102164581559089 0.0102014846774556 0.007406424025495 0.0102051777431048 0.0215194610659289 0.00184395637001741 0.01114238514028 0.0224645150551071 0.0186727838957361 0.0167710872973002 0.0092738398283216 0.0111378145391014 0.0111482562690815 0.0407312610750351 0.0186818599543804 0.0130220866022328 0.0120881061698703 0.0102101696899675 0.0130220866022328 0.0102051777431048 0.0111482562690815 0.0092738398283216 0.01114238514028 0.0120682604609872 0.000921659247144612 0.0177321920525543 0.0196333350274235 0.0224745711939885 0.062599207426084
"R000466" 0 0.00810585202279698 0.00810585202279698 0.00323102901404549 0.00323102901404549 0.00323102901404549 0.00485440706348047 0.00323102901404549 0.00647452920538887 0.00484851151220018 0.0097325758879645 0.00323102901404549 0.00647452920538887 0.00646992157050325 0.0130513119513187 0.00485440706348047 0.00485440706348047 0.00485440706348047 0.00323102901404549 0.00648307299863366 0.00647452920538887 0.00485440706348047 0.00648307299863366 0.0113585978802586 0.00323102901404549 0.00810585202279698 0.0146668264583414 0.00647452920538887 0.00646992157050325 0.00485440706348047 0.00648307299863366 0.0114011454369902 0.0130053035153961 0.00648307299863366 0.0081170613809417 0.0081170613809417 0.0081170613809417 0.0113845522958765 0.00323102901404549 0.0081170613809417 0.0130320002443028 0.00485440706348047 0.00161290462444134 0 0.00484851151220018 0.00485440706348047 0.0113632659148011 0.0485479332709366
"R000503" 0 0.0136994870940572 0.018350683425214 0.00452491775995896 0.00909115954159524 0 0.00906528490786881 0.00452491775995896 0.00909115954159524 0.00452491775995896 0.0136994870940572 0.00909115954159524 0.00909115954159524 0.0182821357522878 0.00452491775995896 0.00452491775995896 0.00909115954159524 0.018350683425214 0.0136524730458895 0 0.00452491775995896 0.00906528490786881 0.0182821357522878 0.0136994870940572 0.00452491775995896 0.018350683425214 0.018350683425214 0.018350683425214 0.0136994870940572 0.018350683425214 0.018350683425214 0.0136994870940572 0.0322593677451351 0.018350683425214 0.0136524730458895 0.018350683425214 0.018350683425214 0.00909115954159524 0.0136994870940572 0.0136994870940572 0.0182821357522878 0.0136994870940572 0.0228748288066642 0.0275424536723751 0.0230455536001335 0.0230455536001335 0.018350683425214 0.0613553493747285
"R000511" 0 0.0155906168957376 0.0182036141667675 0.00257069975020933 0.00515468482943061 0.00514637292205985 0.00773202724414586 0.0103412248466277 0.020826822471832 0.00514637292205985 0.0155906168957376 0.00773705229305862 0.0155650856163456 0.0235228132692954 0.0129877432016303 0.00515468482943061 0.0208957064517453 0.0261602063739296 0.00773202724414586 0.00514637292205985 0.0129877432016303 0.00515468482943061 0.0235228132692954 0.0182036141667675 0.00257069975020933 0.0155906168957376 0.028807975054552 0.0235695096150429 0.0262037848399881 0.0155906168957376 0.0182361257129453 0.0155906168957376 0.028807975054552 0.0182361257129453 0.0155906168957376 0.0182361257129453 0.0182361257129453 0.0182036141667675 0.0155906168957376 0.0156262717520522 0.0182361257129453 0.0155906168957376 0.0103630652585585 0 0.0261602063739296 0.0235695096150429 0.0208957064517453 0.0591741294297283
"R000517" 0 0.008310334332429 0.0195366548984267 0.00553062039034008 0.00553062039034008 0.00276053020253236 0.008310334332429 0.00276053020253236 0.0167137835920763 0.0662732234708395 0.0111036376867488 0.0111172706894027 0.0167137835920763 0.0167137835920763 0.008310334332429 0.00276053020253236 0.0139126338388604 0.0111036376867488 0.0722894072937447 0.00553062039034008 0.00553062039034008 0.00553062039034008 0.00276053020253236 0.0195366548984267 0.00276053020253236 0.00553062039034008 0.008310334332429 0.0195784168436355 0.01673750010992 0.00276053020253236 0.00276053020253236 0.00831616452865048 0.0167137835920763 0.00553254941012791 0.00553254941012791 0.00553254941012791 0.0753178125201733 0.00553254941012791 0.00553062039034008 0.0783947453073624 0.075409635214383 0.0722894072937447 0.0722596990114553 0.0722894072937447 0.0139047874399646 0.0309657239364518 0.0167137835920763 0.0455111974065219
"R000528" 0 0.0190730781880779 0.0473235541556218 0.00810818707816167 0.00810818707816167 0.010832989461944 0.010832989461944 0.0135727223442568 0.0473235541556218 0.010832989461944 0.0302334672287875 0.0163106402220929 0.0444249953134588 0.0473235541556218 0.0190976404375493 0.00540545805210781 0.0704543963799082 0.0330663359966262 0.00810818707816167 0.0135727223442568 0.0135727223442568 0.0135727223442568 0.0191334450511529 0.0616194582986704 0.00539631727502883 0.0704543963799082 0.0387233766472035 0.0358662260154842 0.0302780288878699 0.0246842907366119 0.0246842907366119 0.0246441664646988 0.0358662260154842 0.0674676527489834 0.0218508631103789 0.0246441664646988 0.0190976404375493 0.021883162962277 0.0674870286200009 0.0674870286200009 0.0135727223442568 0.0704543963799082 0.0557905888326482 0.00269360799157483 0.0302780288878699 0.0704954310278955 0.0302334672287875 0.0647070168237335
"R000563" 0 0.0152450833788936 0.0244968784015676 0.00301205730169045 0.00301205730169045 0.00301205730169045 0.0152450833788936 0.00909115954159524 0.0213718682289819 0.00909115954159524 0.0246203580515816 0.00604236960753594 0.0275911333709311 0.0213718682289819 0.0121285829577134 0 0.018301500868863 0.0121586538253532 0.00909115954159524 0.00604236960753594 0.00301205730169045 0.00301205730169045 0.00909115954159524 0.0182662681826616 0 0.018350683425214 0.0213718682289819 0.0152450833788936 0.0309696497201453 0.0121586538253532 0.00909115954159524 0.0121586538253532 0.0275911333709311 0.018350683425214 0.0121586538253532 0.0121586538253532 0.00604236960753594 0.0121586538253532 0.0214756935977997 0.00909115954159524 0.018350683425214 0.0152450833788936 0 0 0.0244563268641335 0.0152450833788936 0.0121123443453631 0.0628262916415749
"R000564" 0 0.00840355915819064 0.0256466471937753 0.00840355915819064 0.0168606835712403 0 0 0 0 0 0.0169507758378407 0 0.0254261637567611 0.0169507758378407 0.0168606835712403 0.00840355915819064 0.0256466471937753 0.00840355915819064 0 0 0 0.00840355915819064 0 0.0341220351126956 0 0 0.00840355915819064 0.0169507758378407 0.00838590441435366 0 0.00840355915819064 0.0168606835712403 0.00838590441435366 0.00840355915819064 0 0 0 0 0.00838590441435366 0.00840355915819064 0 0.00838590441435366 0 0 0.00838590441435366 0.0256466471937753 0.00838590441435366 0.0522737098555465
