"AnnaBGI" "H09" "H10" "H11" "H12" "H13" "H14" "H15" "H16" "H17" "H18" "H19" "H1" "H20" "H21" "H22" "H23" "H24" "H25" "H26" "H27" "H28" "H29" "H2" "H30" "H31" "H33" "H34" "H35" "H36" "H38" "H39" "H3" "H40" "H41" "H42" "H43" "H44" "H45" "H46" "H47" "H48" "H4" "H5" "H6" "H7" "H8" "SwiftBGI"
"R000336" 0.0910650033256403 0.0990651739988609 0.071867242261719 0.0948581395088317 0.0871124135720836 0.0871124135720836 0.075438731573588 0.075438731573588 0.0833556521324857 0.0871124135720836 0.0792997546205432 0.0910650033256403 0.071867242261719 0.0833556521324857 0.0910650033256403 0.0988581608423699 0.0791705782249548 0.0716072952008035 0.0791705782249548 0.0871124135720836 0.0948581395088317 0.0986723399758705 0.0830465666271138 0.0757282653086742 0.0988581608423699 0.0831908248415707 0.0792997546205432 0.0716072952008035 0.0755733938619299 0.0831908248415707 0.0831908248415707 0.0988581608423699 0.0981436147993181 0.0948581395088317 0.0871124135720836 0.0908898647109636 0.0871124135720836 0.075438731573588 0.0794493822640889 0.0950490881502287 0.0792997546205432 0.0869528364955106 0.0869528364955106 0.0908898647109636 0.102211610810405 0.0831908248415707 0.0716072952008035 0
"R000374" 0.0400297282297267 0.0469691030757146 0.0372965700777756 0.042811376572391 0.0442080255251974 0.042811376572391 0.0400297282297267 0.042811376572391 0.0386796968242207 0.0442080255251974 0.0386796968242207 0.0427732742575903 0.0400297282297267 0.0386796968242207 0.0469691030757146 0.0442080255251974 0.0386796968242207 0.0400666602655833 0.042811376572391 0.0724212166986273 0.042811376572391 0.0484215336061375 0.0427732742575903 0.0470130819705807 0.0414186180116779 0.0455665776119102 0.0414186180116779 0.0414574817465217 0.042811376572391 0.0441306408476019 0.0441306408476019 0.0469691030757146 0.0509919457970556 0.0483755737640219 0.0455272898004083 0.0455665776119102 0.0483323462457917 0.0413824527766519 0.0427732742575903 0.0469691030757146 0.049658609303215 0.0427732742575903 0.044064145344312 0.0414186180116779 0.0454907297099835 0.042852182790311 0.0372330513693044 0
"R000375" 0.062599207426084 0.0616339552617191 0.0626825560713008 0.067748535519891 0.0645875692321814 0.0677169593730974 0.0646400265859083 0.0615819130771903 0.0626825560713008 0.0666892097820495 0.0606724156148496 0.06666015336111 0.0626533236066433 0.062625539882872 0.0626825560713008 0.0616339552617191 0.0606724156148496 0.0617228619945094 0.0635926590773521 0.0656635683967707 0.06666015336111 0.0606438172629727 0.0606724156148496 0.0616917839597737 0.060590949079509 0.0626533236066433 0.0586133576198152 0.060702453477083 0.0606724156148496 0.0606438172629727 0.0606438172629727 0.0596275567505116 0.0841163249652826 0.0637367765855362 0.0616339552617191 0.0606438172629727 0.0586133576198152 0.0616339552617191 0.0636185757710082 0.0596275567505116 0.0586133576198152 0.0616339552617191 0.072599927102409 0.0615819130771903 0.0566155982277647 0.0586398924907648 0.0586398924907648 0
"R000466" 0.0485479332709366 0.0502509798792332 0.0468491396946297 0.0485479332709366 0.0485479332709366 0.0485479332709366 0.0503054043246589 0.0485479332709366 0.045100886165265 0.0502509798792332 0.0484495165784138 0.0485479332709366 0.045100886165265 0.0485479332709366 0.0591866324945791 0.0503054043246589 0.0467966179953356 0.0467966179953356 0.0485479332709366 0.0520690745836431 0.0486035274594694 0.0467966179953356 0.0485479332709366 0.0502008318540148 0.0485479332709366 0.0502509798792332 0.0503054043246589 0.0484965921143935 0.0484495165784138 0.0467966179953356 0.0450514155254513 0.0538389879362051 0.0520115450785226 0.0485479332709366 0.0503054043246589 0.0503054043246589 0.0503054043246589 0.0502509798792332 0.0450514155254513 0.0503054043246589 0.0520115450785226 0.0467966179953356 0.0467966179953356 0.0485479332709366 0.0433587241239596 0.0467966179953356 0.0502509798792332 0
"R000503" 0.0613553493747285 0.0663805173014791 0.0613553493747285 0.0663805173014791 0.0714567030334881 0.0613553493747285 0.0712596033672122 0.0663805173014791 0.0514540357266386 0.0663805173014791 0.0765849531170827 0.0613553493747285 0.0613553493747285 0.0612090137066686 0.0563801839481444 0.0663805173014791 0.0714567030334881 0.0714567030334881 0.0662090553739603 0.0613553493747285 0.0663805173014791 0.0712596033672122 0.0712596033672122 0.0613553493747285 0.0663805173014791 0.0714567030334881 0.0714567030334881 0.0714567030334881 0.0663805173014791 0.0714567030334881 0.0714567030334881 0.0765849531170827 0.0815163732837636 0.0714567030334881 0.0662090553739603 0.0714567030334881 0.0714567030334881 0.0613553493747285 0.0663805173014791 0.0663805173014791 0.0712596033672122 0.0663805173014791 0.0809816645915557 0.0859782586612821 0.0765849531170827 0.0870019965685037 0.0613553493747285 0
"R000511" 0.0591741294297283 0.0650355146622631 0.0649048511892316 0.0620312800614476 0.0649048511892316 0.064785265550635 0.0675503785218659 0.064785265550635 0.070565676751173 0.064785265550635 0.0650355146622631 0.06766711790901 0.0649048511892316 0.0677950326469813 0.0649048511892316 0.0649048511892316 0.0708495336598227 0.0764136966327686 0.0675503785218659 0.064785265550635 0.0707020175796913 0.0649048511892316 0.0677950326469813 0.0677950326469813 0.0620312800614476 0.0592883249493956 0.0733475449123255 0.0708495336598227 0.076567187472436 0.0592883249493956 0.0621536623038881 0.0650355146622631 0.0733475449123255 0.0679340735044261 0.0650355146622631 0.0679340735044261 0.0679340735044261 0.0733475449123255 0.0592883249493956 0.0707020175796913 0.0679340735044261 0.0592883249493956 0.0591741294297283 0.0591741294297283 0.070565676751173 0.0737820933860218 0.0650355146622631 0
"R000517" 0.0455111974065219 0.0426621637238045 0.0427312131536032 0.0396643311904132 0.0455641046559908 0.0426055161419465 0.0484785651664291 0.0426055161419465 0.0456295314837118 0.106737796520508 0.0397123026602104 0.0426055161419465 0.0456295314837118 0.0456295314837118 0.0484785651664291 0.0426055161419465 0.0367797429340113 0.0397123026602104 0.109795938629416 0.0455641046559908 0.0455641046559908 0.0455641046559908 0.0426055161419465 0.0485403039196384 0.0426055161419465 0.0426055161419465 0.0426621637238045 0.0426621637238045 0.0426621637238045 0.0426055161419465 0.0426055161419465 0.0426055161419465 0.0455111974065219 0.0397123026602104 0.0397123026602104 0.0397123026602104 0.106641444525452 0.0455111974065219 0.0455641046559908 0.109888209180726 0.113156194670619 0.109795938629416 0.109718406444101 0.109795938629416 0.0426621637238045 0.0543996857217014 0.0456295314837118 0
"R000528" 0.0647070168237335 0.0618046972452354 0.0589147602503428 0.0618821280102502 0.0618821280102502 0.0648672115035021 0.0648672115035021 0.067870223533608 0.0618821280102502 0.0648672115035021 0.0617396490638262 0.0707869747328848 0.0589147602503428 0.0618821280102502 0.067870223533608 0.0647070168237335 0.113190155521611 0.0559648991867487 0.0618821280102502 0.067870223533608 0.0618821280102502 0.067870223533608 0.0677749174311944 0.0704262412630278 0.0646456369078141 0.119600499736142 0.0618046972452354 0.0647808965088831 0.0560370904144597 0.0618821280102502 0.0618821280102502 0.0677749174311944 0.0588461087311911 0.116295631819652 0.0647808965088831 0.0677749174311944 0.0618821280102502 0.0648672115035021 0.116385054570997 0.116385054570997 0.0618821280102502 0.119600499736142 0.110015541682282 0.0618046972452354 0.0501719205217148 0.113283547190608 0.0559648991867487 0
"R000563" 0.0628262916415749 0.0628262916415749 0.0465759482539562 0.0595150212613281 0.0661596373206695 0.0661596373206695 0.0695153546146629 0.0728937458461028 0.0465759482539562 0.0728937458461028 0.0628262916415749 0.0695153546146629 0.0595955831016869 0.0465759482539562 0.0727839806168945 0.0628262916415749 0.0629178544610212 0.0595150212613281 0.0695153546146629 0.0695153546146629 0.0661596373206695 0.0661596373206695 0.0695153546146629 0.0498227129092303 0.0628262916415749 0.0661596373206695 0.0695153546146629 0.0628262916415749 0.0728937458461028 0.0728937458461028 0.0695153546146629 0.0595150212613281 0.0727839806168945 0.0661596373206695 0.0595150212613281 0.0595150212613281 0.0562255357123069 0.0728937458461028 0.0831680799597967 0.0562255357123069 0.0728937458461028 0.0762951195074791 0.0628262916415749 0.0628262916415749 0.0595955831016869 0.0661596373206695 0.0498227129092303 0
"R000564" 0.0522737098555465 0.0615332337391652 0.0805831568553004 0.0431825503139512 0.0519810764137353 0.0522737098555465 0.0522737098555465 0.0522737098555465 0.0522737098555465 0.0522737098555465 0.0522737098555465 0.0522737098555465 0.0608952538733388 0.0709674758913567 0.0705017122539098 0.0615332337391652 0.0431825503139512 0.0615332337391652 0.0522737098555465 0.0522737098555465 0.0522737098555465 0.0615332337391652 0.0522737098555465 0.0701547777569576 0.0522737098555465 0.0522737098555465 0.0615332337391652 0.0522737098555465 0.0611556457478336 0.0522737098555465 0.0615332337391652 0.0705017122539098 0.0611556457478336 0.0615332337391652 0.0522737098555465 0.0522737098555465 0.0522737098555465 0.0522737098555465 0.0611556457478336 0.0615332337391652 0.0522737098555465 0.0611556457478336 0.0522737098555465 0.0522737098555465 0.0611556457478336 0.0431825503139512 0.0611556457478336 0
