H1	Selasphorus rufus
H2	Glaucis hirsuta affinis
H3	Topaza pella
H4	Florisuga mellivora
H5	Archilochus colubris
H6	Eutoxeres aquila
H7	Threnetes leucurus
H8	Eulampis jugularis
H09	Heliodoxa jacula henryi
H10	Phaethornis guy
H11	Lampornis hemileucus
H12	Panterpe insignis
H13	Amazilia tzacatl
H14	Chalybura urochrysia
H15	Eupherusa nigrivestris
H16	Phaethornis ruber
H17	Hylocharis sapphirina
H18	Polytmus theresiae
H19	Campylopterus hyperythrus
H20	Phaethornis bourcieri
H21	Lophornis pavoninus
H22	Calliphlox amethystina
H23	Anthracothorax nigricollis
H24	Doryfera johannae
H25	Thalurania furcata
H26	Trochilus polytmus
H27	Heliomaster furcifer
H28	Patagona gigas
H29	Oreotrochilus estella
H30	Microstilbon burmeisteri
H31	Sappho sparganura
H32	-
H33	Colibri coruscans
H34	Heliothryx barroti
H35	Androdon aequatorialis
H36	Metallura tyrianthina
H37	-
H38	Chalcostigma herrani
H39	Boissonneaua matthewsii
H40	Aglaeactis cupripennis
H41	Ensifera ensifera
H42	Coeligena coeligena
H43	Ocreatus underwoodii
H44	Heliangelus amethysticollis
H45	Aglaiocercus kingi
H46	Eriocnemis alinae
H47	Phlogophilus hemileucurus
H48	Ramphomicron microrhynchum
