"file" "size"
"1" "C10745034" 463
"2" "C11342525" 1772
"3" "C11459623" 2355
"4" "C11538123" 2519
"5" "C11617809" 4133
"6" "C11627725" 4140
"7" "C11647465" 4195
"8" "C11659927" 5203
"9" "C11687333" 7835
"10" "scaffold1002" 446972
"11" "scaffold1006" 208955
"12" "scaffold1007" 565061
"13" "scaffold100" 39759
"14" "scaffold102" 1203
"15" "scaffold1038" 203763
"16" "scaffold103" 13361
"17" "scaffold104" 857
"18" "scaffold105" 85836
"19" "scaffold1061" 458812
"20" "scaffold1069" 302795
"21" "scaffold106" 302795
"22" "scaffold108" 4419069
"23" "scaffold109" 3407182
"24" "scaffold10" 302795
"25" "scaffold1114" 409328
"26" "scaffold1117" 873763
"27" "scaffold112" 5079
"28" "scaffold113" 1489
"29" "scaffold115" 10389
"30" "scaffold116" 6269108
"31" "scaffold117" 7664813
"32" "scaffold118" 8881172
"33" "scaffold1190" 91627
"34" "scaffold120" 33888
"35" "scaffold124" 3569
"36" "scaffold125" 43575
"37" "scaffold1267" 746176
"38" "scaffold126" 7671
"39" "scaffold127" 41494
"40" "scaffold1290" 656551
"41" "scaffold1298" 168792
"42" "scaffold129" 783511
"43" "scaffold12" 783511
"44" "scaffold133" 2557
"45" "scaffold134" 63663
"46" "scaffold135" 10291
"47" "scaffold136" 4023
"48" "scaffold137" 815
"49" "scaffold139" 7304398
"50" "scaffold13" 7304398
"51" "scaffold142" 80935
"52" "scaffold144" 534
"53" "scaffold149" 1431025
"54" "scaffold14" 1431025
"55" "scaffold152" 17421
"56" "scaffold1531" 337577
"57" "scaffold153" 4298507
"58" "scaffold154" 6471
"59" "scaffold1572" 309828
"60" "scaffold157" 4384806
"61" "scaffold158" 19837
"62" "scaffold15" 6471
"63" "scaffold160" 1439
"64" "scaffold161" 13145
"65" "scaffold162" 12638
"66" "scaffold164" 2501
"67" "scaffold165" 8665258
"68" "scaffold166" 590
"69" "scaffold168" 5174931
"70" "scaffold169" 4044605
"71" "scaffold16" 6897
"72" "scaffold1700" 458700
"73" "scaffold171" 8642
"74" "scaffold172" 786
"75" "scaffold174" 919
"76" "scaffold1767" 839850
"77" "scaffold176" 1167
"78" "scaffold179" 7061042
"79" "scaffold17" 7061042
"80" "scaffold180" 17507
"81" "scaffold181" 2849
"82" "scaffold182" 6438
"83" "scaffold183" 10876306
"84" "scaffold189" 3564229
"85" "scaffold18" 3564229
"86" "scaffold191" 8610
"87" "scaffold192" 7390
"88" "scaffold194" 6507
"89" "scaffold196" 76961
"90" "scaffold197" 18365
"91" "scaffold198" 1540290
"92" "scaffold199" 2738369
"93" "scaffold19" 2738369
"94" "scaffold1" 7304398
"95" "scaffold201" 7295
"96" "scaffold204" 5804
"97" "scaffold205" 794
"98" "scaffold207" 1168
"99" "scaffold208" 48736
"100" "scaffold209" 2042431
"101" "scaffold20" 48736
"102" "scaffold210" 8482
"103" "scaffold211" 3926
"104" "scaffold213" 5601347
"105" "scaffold218" 1744725
"106" "scaffold219" 6004614
"107" "scaffold21" 6004614
"108" "scaffold221" 6590
"109" "scaffold222" 21996
"110" "scaffold223" 1621
"111" "scaffold224" 2860
"112" "scaffold225" 16577
"113" "scaffold226" 3977
"114" "scaffold227" 2997747
"115" "scaffold228" 1584849
"116" "scaffold22" 26433
"117" "scaffold230" 5073
"118" "scaffold231" 13466
"119" "scaffold232" 8160
"120" "scaffold234" 5825
"121" "scaffold235" 6640
"122" "scaffold237" 418194
"123" "scaffold238" 3095110
"124" "scaffold239" 4861571
"125" "scaffold23" 4861571
"126" "scaffold240" 4288
"127" "scaffold241" 807684
"128" "scaffold242" 3077309
"129" "scaffold243" 3066
"130" "scaffold244" 2024
"131" "scaffold245" 2222
"132" "scaffold246" 1647435
"133" "scaffold247" 6601
"134" "scaffold248" 3733999
"135" "scaffold24" 1416
"136" "scaffold250" 512
"137" "scaffold252" 1354
"138" "scaffold253" 857
"139" "scaffold254" 616
"140" "scaffold256" 942094
"141" "scaffold258" 5416670
"142" "scaffold259" 6391107
"143" "scaffold25" 6391107
"144" "scaffold265" 582
"145" "scaffold266" 3107092
"146" "scaffold267" 1922381
"147" "scaffold268" 4286187
"148" "scaffold26" 4811
"149" "scaffold270" 643
"150" "scaffold272" 1341
"151" "scaffold275" 1529
"152" "scaffold277" 3200210
"153" "scaffold279" 1743425
"154" "scaffold27" 45472
"155" "scaffold282" 1093
"156" "scaffold283" 3566
"157" "scaffold284" 14423
"158" "scaffold286" 876654
"159" "scaffold288" 1385878
"160" "scaffold289" 6834368
"161" "scaffold28" 6834368
"162" "scaffold292" 2225
"163" "scaffold293" 712861
"164" "scaffold296" 2658
"165" "scaffold29" 4514863
"166" "scaffold2" 6391107
"167" "scaffold301" 2086
"168" "Scaffold3026" 274
"169" "scaffold305" 32468
"170" "scaffold306" 729
"171" "scaffold308" 6385
"172" "scaffold30" 32468
"173" "scaffold310" 5908
"174" "scaffold311" 2782
"175" "scaffold312" 3007
"176" "scaffold313" 2419
"177" "scaffold314" 1712142
"178" "scaffold316" 2073408
"179" "scaffold317" 3069
"180" "scaffold318" 563
"181" "scaffold31" 563
"182" "scaffold321" 1719
"183" "scaffold325" 7421
"184" "scaffold327" 1553357
"185" "scaffold32" 5768
"186" "scaffold330" 7197
"187" "scaffold331" 6580656
"188" "scaffold332" 6752
"189" "scaffold336" 881
"190" "scaffold33" 2868
"191" "scaffold340" 2601
"192" "scaffold343" 605550
"193" "scaffold345" 722351
"194" "scaffold346" 2630
"195" "scaffold348" 8452
"196" "scaffold34" 8452
"197" "scaffold350" 1115
"198" "scaffold353" 1046
"199" "scaffold355" 4335
"200" "scaffold356" 9090
"201" "scaffold357" 2499
"202" "scaffold358" 2108603
"203" "scaffold35" 2499
"204" "scaffold360" 19437
"205" "scaffold362" 5225
"206" "scaffold363" 804
"207" "scaffold366" 2355
"208" "scaffold367" 2551178
"209" "scaffold368" 564315
"210" "scaffold36" 532
"211" "scaffold370" 1050
"212" "scaffold372" 22865
"213" "scaffold373" 7693
"214" "scaffold376" 782053
"215" "scaffold377" 988031
"216" "scaffold379" 338346
"217" "scaffold37" 7693
"218" "scaffold382" 2627
"219" "scaffold385" 6420
"220" "scaffold388" 1399463
"221" "scaffold38" 2069
"222" "scaffold390" 2617
"223" "scaffold391" 5779
"224" "scaffold3925" 471
"225" "scaffold392" 7942
"226" "scaffold394" 573
"227" "scaffold397" 75971
"228" "scaffold398" 93873
"229" "scaffold399" 1816709
"230" "scaffold39" 1682532
"231" "scaffold3" 1682532
"232" "scaffold403" 1480661
"233" "scaffold404" 2459
"234" "scaffold405" 2692
"235" "scaffold406" 1349941
"236" "scaffold40" 1549798
"237" "scaffold410" 554
"238" "scaffold413" 649
"239" "scaffold414" 2983673
"240" "scaffold41" 62054
"241" "scaffold421" 1026
"242" "scaffold422" 2301
"243" "scaffold426" 2290345
"244" "scaffold42" 55647
"245" "scaffold430" 2578850
"246" "scaffold431" 1326029
"247" "scaffold434" 797784
"248" "scaffold435" 1012158
"249" "scaffold437" 2326306
"250" "scaffold438" 1935931
"251" "scaffold43" 1935931
"252" "scaffold445" 864999
"253" "scaffold448" 800108
"254" "scaffold44" 3680
"255" "scaffold450" 2394895
"256" "scaffold451" 1887394
"257" "scaffold452" 358421
"258" "scaffold453" 680836
"259" "scaffold456" 1180959
"260" "scaffold458" 952990
"261" "scaffold460" 778210
"262" "scaffold461" 346107
"263" "scaffold462" 1168413
"264" "scaffold464" 722596
"265" "scaffold465" 791903
"266" "scaffold469" 4022666
"267" "scaffold472" 876351
"268" "scaffold473" 1720478
"269" "scaffold474" 1853325
"270" "scaffold475" 712049
"271" "scaffold478" 1245603
"272" "scaffold479" 1254723
"273" "scaffold47" 1254723
"274" "scaffold480" 142973
"275" "scaffold481" 750226
"276" "scaffold482" 850903
"277" "scaffold483" 1152413
"278" "scaffold485" 1421947
"279" "scaffold48" 2672612
"280" "scaffold493" 464300
"281" "scaffold494" 2819570
"282" "scaffold496" 63167
"283" "scaffold498" 664314
"284" "scaffold499" 1248692
"285" "scaffold4" 4022666
"286" "scaffold50" 58861
"287" "scaffold510" 542428
"288" "scaffold518" 519348
"289" "scaffold51" 22381
"290" "scaffold522" 3639464
"291" "scaffold524" 616920
"292" "scaffold526" 1112489
"293" "scaffold530" 1201997
"294" "scaffold539" 171317
"295" "scaffold53" 171317
"296" "scaffold547" 3271339
"297" "scaffold548" 629822
"298" "scaffold54" 629755
"299" "scaffold552" 387888
"300" "scaffold55" 9515
"301" "scaffold560" 2130182
"302" "scaffold561" 373290
"303" "scaffold563" 871917
"304" "scaffold567" 154828
"305" "scaffold569" 1263232
"306" "scaffold56" 1263232
"307" "scaffold571" 1288806
"308" "scaffold573" 6418990
"309" "scaffold575" 530477
"310" "scaffold57" 1412269
"311" "scaffold588" 929451
"312" "scaffold58" 3138631
"313" "scaffold59" 1270290
"314" "scaffold5" 171317
"315" "scaffold602" 921933
"316" "scaffold606" 2286858
"317" "scaffold607" 122654
"318" "scaffold609" 5709699
"319" "scaffold612" 144525
